Measure,group1,group2,meandiff,p-adj,lower,upper,reject
Sentiment,confirmshaming,fake_urgency,0.1461,0.0001,0.0625,0.2297,True
Sentiment,confirmshaming,trick_question,0.1532,0.0,0.0696,0.2368,True
Sentiment,confirmshaming,visual_interference,0.4742,0.0,0.3906,0.5579,True
Sentiment,fake_urgency,trick_question,0.0071,0.9962,-0.0765,0.0908,False
Sentiment,fake_urgency,visual_interference,0.3281,0.0,0.2445,0.4118,True
Sentiment,trick_question,visual_interference,0.321,0.0,0.2374,0.4047,True
Word_Count,confirmshaming,fake_urgency,-1.5,0.0,-2.0426,-0.9574,True
Word_Count,confirmshaming,trick_question,1.3778,0.0,0.8352,1.9204,True
Word_Count,confirmshaming,visual_interference,-3.4556,0.0,-3.9981,-2.913,True
Word_Count,fake_urgency,trick_question,2.8778,0.0,2.3352,3.4204,True
Word_Count,fake_urgency,visual_interference,-1.9556,0.0,-2.4981,-1.413,True
Word_Count,trick_question,visual_interference,-4.8333,0.0,-5.3759,-4.2907,True
Char_Count,confirmshaming,fake_urgency,-3.6,0.0015,-6.1201,-1.0799,True
Char_Count,confirmshaming,trick_question,9.6667,0.0,7.1465,12.1868,True
Char_Count,confirmshaming,visual_interference,-9.7556,0.0,-12.2757,-7.2354,True
Char_Count,fake_urgency,trick_question,13.2667,0.0,10.7465,15.7868,True
Char_Count,fake_urgency,visual_interference,-6.1556,0.0,-8.6757,-3.6354,True
Char_Count,trick_question,visual_interference,-19.4222,0.0,-21.9423,-16.9021,True
Negation_Count,confirmshaming,fake_urgency,-1.0,0.0,-1.1127,-0.8873,True
Negation_Count,confirmshaming,trick_question,0.2222,0.0,0.1095,0.3349,True
Negation_Count,confirmshaming,visual_interference,-0.7889,0.0,-0.9016,-0.6762,True
Negation_Count,fake_urgency,trick_question,1.2222,0.0,1.1095,1.3349,True
Negation_Count,fake_urgency,visual_interference,0.2111,0.0,0.0984,0.3238,True
Negation_Count,trick_question,visual_interference,-1.0111,0.0,-1.1238,-0.8984,True
Question_Mark,confirmshaming,fake_urgency,0.0,,0.0,0.0,False
Question_Mark,confirmshaming,trick_question,0.0,,0.0,0.0,False
Question_Mark,confirmshaming,visual_interference,0.0,,0.0,0.0,False
Question_Mark,fake_urgency,trick_question,0.0,,0.0,0.0,False
Question_Mark,fake_urgency,visual_interference,0.0,,0.0,0.0,False
Question_Mark,trick_question,visual_interference,0.0,,0.0,0.0,False
Exclamation_Mark,confirmshaming,fake_urgency,0.3778,0.0,0.284,0.4716,True
Exclamation_Mark,confirmshaming,trick_question,0.0,1.0,-0.0938,0.0938,False
Exclamation_Mark,confirmshaming,visual_interference,0.0,1.0,-0.0938,0.0938,False
Exclamation_Mark,fake_urgency,trick_question,-0.3778,0.0,-0.4716,-0.284,True
Exclamation_Mark,fake_urgency,visual_interference,-0.3778,0.0,-0.4716,-0.284,True
Exclamation_Mark,trick_question,visual_interference,0.0,1.0,-0.0938,0.0938,False
Subordinator_Count,confirmshaming,fake_urgency,0.0,1.0,-0.0948,0.0948,False
Subordinator_Count,confirmshaming,trick_question,0.6,0.0,0.5052,0.6948,True
Subordinator_Count,confirmshaming,visual_interference,0.0,1.0,-0.0948,0.0948,False
Subordinator_Count,fake_urgency,trick_question,0.6,0.0,0.5052,0.6948,True
Subordinator_Count,fake_urgency,visual_interference,0.0,1.0,-0.0948,0.0948,False
Subordinator_Count,trick_question,visual_interference,-0.6,0.0,-0.6948,-0.5052,True
Complexity_Index,confirmshaming,fake_urgency,-3.1222,0.0,-3.808,-2.4364,True
Complexity_Index,confirmshaming,trick_question,3.0222,0.0,2.3364,3.708,True
Complexity_Index,confirmshaming,visual_interference,-5.0333,0.0,-5.7191,-4.3475,True
Complexity_Index,fake_urgency,trick_question,6.1444,0.0,5.4586,6.8302,True
Complexity_Index,fake_urgency,visual_interference,-1.9111,0.0,-2.5969,-1.2253,True
Complexity_Index,trick_question,visual_interference,-8.0556,0.0,-8.7414,-7.3698,True
